['With_1_C=O', 'With_1_CO']
['With_1_C=O', 'With_1_CO', 'With_1_CNC', 'With_2_CCC', 'With_1_CCCNC', 'With_1_CCN', 'With_1_C[NH3+]']
['With_1_C=O', 'With_1_CO', 'With_2_CCC', 'With_2_CCCNC', 'With_1_CC(C)(C)N', 'With_1_CCNCC']
['With_1_C=O', 'With_1_CO', 'With_2_CN', 'With_1_CCCN', 'With_1_CCCCN']
['With_1_C[O-]', 'With_1_ccn', 'With_1_cc(c)C', 'With_1_COC(c)=O']
['With_1_cC(=O)[O-]', 'With_1_cc(c)C', 'With_1_cccc(C)n']
['With_1_cC(=O)[O-]', 'With_1_ccn', 'With_1_cc(c)C', 'With_1_ccnc(c)C']
['With_1_cc(c)C', 'With_1_cc(n)C(=O)[O-]']
['With_1_cc(c)C', 'With_1_cccc(C)n']
['With_1_cnc', 'With_1_cc(c)C', 'With_1_COC']
['With_1_cnc', 'With_1_cc(c)C', 'With_1_cc(C)n', 'With_1_ccnc(c)C', 'With_1_COC(c)=O']
['With_1_cnc', 'With_1_cc(c)C', 'With_1_cccc(C)n']
['With_1_cnc', 'With_2_ccn', 'With_1_cc(c)C', 'With_1_ccc(cc)C(=O)[O-]']
['With_2_CO', 'With_1_CC', 'With_2_CCO', 'With_1_CC(C)(C)C']
['With_2_CO', 'With_1_CC(=O)O', 'With_1_CCO', 'With_1_CC(C)(C)C']
['With_2_CO', 'With_1_CC(=O)O', 'With_1_CN', 'With_2_CCN', 'With_1_CC(=N)O']
['With_2_CO', 'With_1_CCC', 'With_1_CCN']
['With_2_CO', 'With_1_CCO', 'With_1_CC(C)O', 'With_1_C[NH3+]']
['With_2_CO', 'With_1_CCO', 'With_1_C[NH3+]']
['With_2_CO', 'With_1_CNC', 'With_2_CCO', 'With_2_CCN']
['With_2_CO', 'With_2_CCO']
['With_2_ccn', 'With_1_cc(c)C', 'With_1_ccc(cc)C(=O)[O-]']
['With_4_CO', 'With_1_COC', 'With_1_CC(=O)O', 'With_1_CCO', 'With_2_CC(C)O']
