c1nc(C(=O)[O-])n[nH]1
Cc1ncc[nH]1
O=C(O)C1=CN=CC=C1
c1cc(ccc1c1ccncc1)C(=O)O
c1cc(C(=O)[O-])nc(c1)C(=O)[O-]
CC(C)CC(C(O)=O)NC(OCC1=CC=CC=C1)=O
NC1=NNC(N)=N1
c1c(c(cc(c1O)C(=O)O)O)C(=O)O
c1cc(c(cc1C(=O)O)O)C(=O)O
OC1OCCC1
CC([C@@H](C(=O)O)N)O
CC(CO)(CO)C(=O)[O-]
c1c(cc(cc1O)O)O.O.O
OC1[C@@H](C(O)=O)NCC1
C(C(=O)[O-])S
c1cnccc1C(=O)[O-]
c1c[nH]ccc1=S
C([C@@H](C(=O)O)N)S
C1(C2=NC=CC=C2)=NC=CC=C1
c1ccc(cc1)c1ccccn1
Cc1ccc(c(CO)c1CO)O
c1ccnc(c1)c1cccc(c2ccccn2)n1.[Cl](=O)(=O)(=O)O.[Cl](=O)(=O)(=O)O
c1ccc(c(c1)C(=O)O)O
C(#CC(=O)[O-])C(=O)[O-]
c1cc(cnc1)N
C(CC(=O)O)CN
c1ccc(c(c1)O)O
C(C(=O)O)NC(CO)(CO)CO
c1cc(c(cc1c1ccc(c(c1)N)N)N)N.Cl.Cl.Cl.Cl.O.O
C1=NC2C(=N)N=CNC2=N1
C(=C\\C(=O)O)/C(=O)O
c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
C(C(C1C(=C(C(=O)O1)O)O)O)O
CC(C)(CO)C(=O)O
c1cc(c(cc1C(=O)[O-])N)C(=O)[O-]
C1(C2=CC=NC=C2)=CC=NC=C1
CC(=N)S
[C@@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)O
CC(=NC(C=O)C(C(C(CO)O)O)O)O
C1[C@@H](CN[C@H]1C(=O)O)O
C1CNCCC1(C(=O)O)N
OP(C1=CC=NC=C1)(O)=O
C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
C(C(CO)(CO)CO)O
C(C(=O)[O-])S
C[C@H](C(=O)[O-])O
c1c[nH]ccc1=O
c1ccc(cc1)CO
c1cc(cc(c1)S(=O)(=O)[O-])P(c1cccc(c1)S(=O)(=O)[O-])c1cccc(c1)S(=O)(=O)[O-].[Na+].[Na+].[Na+]
C1=CC2C(=NC(=O)C2(C=C1)O)O
c1ccc(cc1)P(=O)(c1ccccc1)O
COc1ccnc(c1)C(=O)OC
COc1ccnc(c1)c1cc(ccn1)OC
c1ccn(=O)c(c1)O
C#CCCCCO
c1cc(CO)oc1
COC(=O)c1ccc(C(=O)[O-])nc1
C[C@@H](CO)[NH3+]
C(C(C(=O)O)O)(C(=O)O)O
C(CCN)C[C@@H](C(=O)O)N
C(C[C@@H](C(=O)O)[NH3+])CNC(=N)N
c1cc(=O)oc2cc(c(cc12)O)O
c1cc(c(C(=O)[O-])nc1)N
c1cc(ccc1C[C@@H](C(=O)O)N)O
c1cc2cc(ccc2nc1)C(=O)[O-]
N[C@@H](CC1=CNC=N1)C(O)=O
c1ccc2c(c1)cnc1c2cccn1.O
Cc1cc(c(C)c(C)c1O)O
CC1=CC(=O)C(=C(C)C1=O)C
[C@@H]1([C@H]([C@@H](C(=O)[O-])O[C@H]1C(=O)[O-])C(=O)[O-])C(=O)[O-]
C#CCO
C#C[C@H](CC)O
c1cc(ccc1I)O
C(C(=NCC(=O)O)O)N
c1ccc(cc1)[C@H]1CO1
C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)O.OP(=O)(O)OP(=O)(O)O
C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
C(=O)[C@@H]([C@H]([C@@H](CO)O)O)O
C([C@@H]1[C@H]([C@@H](C(CO)(O)O1)O)O)O
C([C@@H]1[C@H]([C@H]([C@H](O)O1)O)O)O
CC(C)(C(=O)[O-])O
C(C(F)(F)F)O
CCC(O)(O)O
C(CO)N(CCO)CCO
C(CO)NCCO
CC(=O)OC[C@@H]1[C@@H]([C@@H]([C@H](C(OCCOCCOCCN=[N+]=[N-])O1)OC(=O)C)OC(=O)C)OC(=O)C
OC[C@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@H]2[C@@H]([C@H]([C@H](O[C@@H]2CO)O)O)O
C(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O.O
C(CNC(CO)(CO)CO)CNC(CO)(CO)CO
C([C@@H](CS(=O)(=O)O)O)NC(CO)(CO)CO
C([C@H](CO)O)[NH3+]
C=C.O.O
O=C(O)[C@H](CC1=CC=CC=C1)NC([C@H](CCCCN)NC(CNC([C@H]2N(C([C@H](CC3=CC=C(O)C=C3)NC([C@H](C)N)=O)=O)CCC2)=O)=O)=O
CC(C)(C)OC(=N[C@H](Cc1c[nH]c2ccccc12)C(=O)[O-])O
